id,street,street_number,city,zip_code,country,phone_number,email_address,address_type,company_id,version,created,last_modified,is_deleted
2852bdcf-b78c-4f36-977d-b2c8bce5cb18,Benita Crescent,738,Lake Mercyport,79483,Palau,906-648-8669,hayes_welch@example.com,main,cf578fec-006b-4604-a5e8-5ad1b3ea2be5,0,2025-05-10 13:46:33.400,2025-05-10 13:46:33.400,FALSE
e3d2061e-ef6b-4f94-9442-43bdf4f1f6c7,Huey Rapid,55,West Aleasestad,20624,Kenya,251.126.8153,hayes_welch@example.com,main,cf578fec-006b-4604-a5e8-5ad1b3ea2be5,0,2025-05-10 14:16:54.991,2025-05-10 14:16:54.991,FALSE
3b99df53-4af1-4b2c-a043-8a0b741db66c,Marlin Turnpike,825,Port Jackie,86298-8021,Kazakhstan,1-444-809-8547,hayes_welch@example.com,main,cf578fec-006b-4604-a5e8-5ad1b3ea2be5,0,2025-05-10 14:16:55.013,2025-05-10 14:16:55.013,FALSE
69e3b187-1e05-4b30-ad3e-c5b9baa6893a,Stehr Mountain,583,New Maraport,18686,Angola,(253) 024-5495,pouros_group@example.com,main,489da321-243c-44fa-a14f-509ebfbad683,0,2025-05-10 14:16:55.024,2025-05-10 14:16:55.024,FALSE
015e26bb-bb84-4807-ab18-c1bf7ff41ada,Schoen Villages,953,Emanuelchester,47045-1696,South Africa,(445) 266-0614,pouros_group@example.com,main,489da321-243c-44fa-a14f-509ebfbad683,0,2025-05-10 14:16:55.033,2025-05-10 14:16:55.033,FALSE
52f001a1-0eb2-4555-a14e-566130a3023a,Roderick Plaza,213,East Milford,84903-1699,Lebanon,630.227.8816,hintz_parisian_and_sanford@example.com,main,08cd2530-227e-4ee7-aa7f-7efe37eb607c,0,2025-05-10 14:16:55.043,2025-05-10 14:16:55.043,FALSE
c0962553-395e-49e6-9c53-4746e410021f,Brekke Village,596,Lake Maddie,26676,Myanmar,718.085.7170,hintz_parisian_and_sanford@example.com,main,08cd2530-227e-4ee7-aa7f-7efe37eb607c,0,2025-05-10 14:16:55.050,2025-05-10 14:16:55.050,FALSE
cd24f532-a8f0-4f9e-a8ff-e8143a0f6e24,Vernia Drive,353,Lake Cathey,82169,Saint Helena,(918) 091-4805,shanahan_krajcik_and_leuschke@example.com,main,9b4b702d-41b6-4f60-8f7e-da621ae07a5c,0,2025-05-10 14:16:55.056,2025-05-10 14:16:55.056,FALSE
7cea1879-eaef-43a5-9961-72fc2d302af2,Russel Route,52,Maxfurt,20135-9608,Brazil,633.268.7113,shanahan_krajcik_and_leuschke@example.com,main,9b4b702d-41b6-4f60-8f7e-da621ae07a5c,0,2025-05-10 14:16:55.063,2025-05-10 14:16:55.063,FALSE
c8afbe71-1097-41a7-aa6e-d13cbb303e81,Omer Locks,909,North Clement,44917,Italy,1-215-501-0446,tillman_sipes@example.com,main,25eddaea-6b44-4ebf-ab48-bf45e634dc94,0,2025-05-10 14:16:55.070,2025-05-10 14:16:55.070,FALSE
f2f9140f-c3e7-46a7-9a59-2283e028463f,Malka Keys,361,Schmelerburgh,05838-9836,Guyana,1-127-948-3749,tillman_sipes@example.com,main,25eddaea-6b44-4ebf-ab48-bf45e634dc94,0,2025-05-10 14:16:55.076,2025-05-10 14:16:55.076,FALSE
5c9e06cd-9b53-4c41-86ba-b04fd6458170,Rosena Street,418,Bartontown,94916-2080,Christmas Island,641.037.5315,strosin_hodkiewicz@example.com,main,c3ba6aea-9220-4a5a-b32c-964770fc2aad,0,2025-05-10 14:16:55.084,2025-05-10 14:16:55.085,FALSE
3bc9ebfa-5366-4ad6-aca1-ec5453a25b66,Bartell Spur,302,North Peteport,12117-4734,Dominica,872.164.3878,strosin_hodkiewicz@example.com,main,c3ba6aea-9220-4a5a-b32c-964770fc2aad,0,2025-05-10 14:16:55.091,2025-05-10 14:16:55.091,FALSE
52d03d06-d50b-4769-b6cf-7c1f0ee91f20,Veronika Lodge,930,Meldafurt,39619,Equatorial Guinea,661-795-2615,dare_nikolaus_and_bruen@example.com,main,7c872159-c95d-4ca5-9fb3-1e2404d88f12,0,2025-05-10 14:16:55.096,2025-05-10 14:16:55.096,FALSE
4ab3522c-d834-4564-9d0c-eda01ea06325,Baumbach Walks,462,Louannefurt,72537-4574,Heard Island and McDonald Islands,(513) 086-3830,dare_nikolaus_and_bruen@example.com,main,7c872159-c95d-4ca5-9fb3-1e2404d88f12,0,2025-05-10 14:16:55.104,2025-05-10 14:16:55.104,FALSE
a45914f2-96b1-48bd-867c-b25253aff2cf,Lehner Extensions,195,Lake Zacheryside,35513,Zambia,1-320-746-0382,deckow_and_sons@example.com,main,34ec8da8-c9cd-42a6-9a6e-b99b4c10503a,0,2025-05-10 14:16:55.111,2025-05-10 14:16:55.111,FALSE
113123c5-34db-4239-b849-072dc262531a,Samuel Village,160,Lylamouth,25625-5172,Jordan,(614) 788-7658,deckow_and_sons@example.com,main,34ec8da8-c9cd-42a6-9a6e-b99b4c10503a,0,2025-05-10 14:16:55.116,2025-05-10 14:16:55.116,FALSE
bad8549b-3d98-4e95-b604-39780b1d61ca,Hilll Crest,172,West Morton,62968-0307,Vanuatu,1-952-889-7863,kreiger_and_sons@example.com,main,84f548ed-77a8-4b44-b281-306100bdd1b8,0,2025-05-10 14:16:55.121,2025-05-10 14:16:55.121,FALSE
a1c0a0a6-b683-4d93-8fd9-902f32c7a8d5,Weimann Motorway,688,New Donnie,57022,Uruguay,684.180.3697,kreiger_and_sons@example.com,main,84f548ed-77a8-4b44-b281-306100bdd1b8,0,2025-05-10 14:16:55.124,2025-05-10 14:16:55.124,FALSE
42bd1e13-49ce-4454-9e2f-9ef73d5697c3,Kerluke Cove,72,West Shawnshire,3929,Malaysia,1-153-263-0738,mraz_llc@example.com,main,bef33ef4-8b52-4b02-b4d7-8e07a1ff747e,0,2025-05-10 14:16:55.127,2025-05-10 14:16:55.127,FALSE
cd5324e0-5731-4851-8db5-268fca8d2532,Luther Throughway,911,South Jason,80440,Macao,655.169.8870,mraz_llc@example.com,main,bef33ef4-8b52-4b02-b4d7-8e07a1ff747e,0,2025-05-10 14:16:55.130,2025-05-10 14:16:55.130,FALSE
d6493ea7-ff35-4887-9c3c-506697eb6af3,Aletha Skyway,21,Franeckichester,31025-1346,Micronesia,151-885-9448,skiles_llc@example.com,main,9fc335b4-3a7a-41fb-a711-96e3cf3f1820,0,2025-05-10 14:16:55.135,2025-05-10 14:16:55.135,FALSE
c4a924b9-d4e4-4346-84f5-cdca4e7681c3,Hank Drive,776,Lake Margot,35692,Democratic People's Republic of Korea,222-462-1475,skiles_llc@example.com,main,9fc335b4-3a7a-41fb-a711-96e3cf3f1820,0,2025-05-10 14:16:55.138,2025-05-10 14:16:55.138,FALSE
11d21f89-32b8-4751-ac5e-a7ef869012df,Wolff Freeway,720,New Meta,7541,Bahamas,788-586-4138,moore_inc@example.com,main,379530ea-b648-41aa-899a-99e37ad8eb55,0,2025-05-10 14:16:55.142,2025-05-10 14:16:55.142,FALSE
7f0e218d-d158-409b-a97d-b103ff75bdd0,Brain Corners,842,South Sterlingborough,37762,United States Minor Outlying Islands,073-420-1706,moore_inc@example.com,main,379530ea-b648-41aa-899a-99e37ad8eb55,0,2025-05-10 14:16:55.144,2025-05-10 14:16:55.144,FALSE
c62bd0f0-02f2-4569-95ad-c3e1eb23ee61,Ferry Crest,456,West Ferdinand,49146,Philippines,522.143.3508,padberg_inc@example.com,main,1714a24e-12aa-44fe-b5bc-7eb5953cb7fe,0,2025-05-10 14:16:55.146,2025-05-10 14:16:55.146,FALSE
69ed2b7e-58e4-4307-86c4-baf277072ab9,Ayana Plains,913,East Vanna,68827-9668,Botswana,991-201-5340,padberg_inc@example.com,main,1714a24e-12aa-44fe-b5bc-7eb5953cb7fe,0,2025-05-10 14:16:55.149,2025-05-10 14:16:55.149,FALSE
