id,number,title,category_id,deadline,priority_id,additional_details,project_id,project_step_id,version,created,last_modified,is_deleted
5235bd17-661d-4ccb-9b37-effa2aadc462,2025-T-1,Define mission objectives,d493969b-2c73-4e87-9f54-b1655a538288,2025-08-14 00:00:00.000,31259c88-a717-454c-bdd0-1dfa19245b77,null,6e723e03-4a67-475c-b614-d3993947e596,2ab233ca-ded4-41ba-8eac-fc8ab1df68dc,0,2025-08-14 00:00:00.000,2025-08-14 00:00:00.000,FALSE
18e1a2df-f1fc-49e0-81d6-85c75a78a0f2,2025-T-2,"Choose rocket name (e.g., ""CosmoCarp"")",d493969b-2c73-4e87-9f54-b1655a538288,2025-08-15 00:00:00.000,d5d3b994-fd44-45f3-8637-adfff6834c61,null,6e723e03-4a67-475c-b614-d3993947e596,2ab233ca-ded4-41ba-8eac-fc8ab1df68dc,0,2025-08-14 00:00:00.000,2025-08-14 00:00:00.000,FALSE
60060239-0e33-4110-b152-f2e2240432b8,2025-T-3,Assemble the project team,d493969b-2c73-4e87-9f54-b1655a538288,2025-08-16 00:00:00.000,c183e26b-6702-4758-a397-c547cf119cf5,null,6e723e03-4a67-475c-b614-d3993947e596,2ab233ca-ded4-41ba-8eac-fc8ab1df68dc,0,2025-08-14 00:00:00.000,2025-08-14 00:00:00.000,FALSE
2e924ad2-44c9-4cb8-aff0-4c0c2827dddb,2025-T-4,Create initial sketches,d493969b-2c73-4e87-9f54-b1655a538288,2025-08-17 00:00:00.000,3b893ffa-50b0-4c74-b441-c7e31a176c53,null,6e723e03-4a67-475c-b614-d3993947e596,c45e434b-1dce-4405-80c3-9edb55d31684,0,2025-08-14 00:00:00.000,2025-08-14 00:00:00.000,FALSE
8ba4b587-5991-4583-bc9b-3f5ff0098199,2025-T-5,"Select fuel type (e.g., ""mega-super eco-friendly"")",d493969b-2c73-4e87-9f54-b1655a538288,2025-08-18 00:00:00.000,72811daf-820e-4035-a72f-468116ce3155,null,6e723e03-4a67-475c-b614-d3993947e596,c45e434b-1dce-4405-80c3-9edb55d31684,0,2025-08-14 00:00:00.000,2025-08-14 00:00:00.000,FALSE
a5885449-ba80-412f-b7db-2bda79719812,2025-T-6,Assign responsibilities for individual modules,d493969b-2c73-4e87-9f54-b1655a538288,2025-08-19 00:00:00.000,31259c88-a717-454c-bdd0-1dfa19245b77,null,6e723e03-4a67-475c-b614-d3993947e596,c45e434b-1dce-4405-80c3-9edb55d31684,0,2025-08-14 00:00:00.000,2025-08-14 00:00:00.000,FALSE
10179858-782c-4a71-995c-8c79f550662d,2025-T-7,Design engines,d493969b-2c73-4e87-9f54-b1655a538288,2025-08-20 00:00:00.000,d5d3b994-fd44-45f3-8637-adfff6834c61,null,6e723e03-4a67-475c-b614-d3993947e596,ed0e90b8-1bd4-4c63-8bc0-99c126d58514,0,2025-08-14 00:00:00.000,2025-08-14 00:00:00.000,FALSE
495cd7e2-6a5a-4007-bd55-45942949892f,2025-T-8,Design crew or cargo capsule,d493969b-2c73-4e87-9f54-b1655a538288,2025-08-21 00:00:00.000,c183e26b-6702-4758-a397-c547cf119cf5,null,6e723e03-4a67-475c-b614-d3993947e596,ed0e90b8-1bd4-4c63-8bc0-99c126d58514,0,2025-08-14 00:00:00.000,2025-08-14 00:00:00.000,FALSE
ef56bf13-9d99-486a-bb5d-ba18e01a2e67,2025-T-9,Safety and communication systems,d493969b-2c73-4e87-9f54-b1655a538288,2025-08-22 00:00:00.000,3b893ffa-50b0-4c74-b441-c7e31a176c53,null,6e723e03-4a67-475c-b614-d3993947e596,ed0e90b8-1bd4-4c63-8bc0-99c126d58514,0,2025-08-14 00:00:00.000,2025-08-14 00:00:00.000,FALSE
078ad45b-0e76-4f5b-ada1-7e1bbfa60850,2025-T-10,Manufacture components,d493969b-2c73-4e87-9f54-b1655a538288,2025-08-23 00:00:00.000,72811daf-820e-4035-a72f-468116ce3155,null,6e723e03-4a67-475c-b614-d3993947e596,8246881c-bab8-404d-ba67-9f8f40f1a19f,0,2025-08-14 00:00:00.000,2025-08-14 00:00:00.000,FALSE
